"Tanka ditt kontantkort med ett fast belopp varje månad såger vi dig en smartphone!","Tanka ditt kontantkort med ett fast belopp varje månad såger vi dig en smartphone!"
"Ord. pris för telefon:","Ord. pris för telefon:"
"Köp en mobiltelefon med abonnemanget Comviq Fastpris","Köp en mobiltelefon med abonnemanget Comviq Fastpris"
"USP's","USP's"
"Fria samtal","Fria samtal"
"Fria SMS","Fria SMS"
"Fria MMS","Fria MMS"
"2GB surf","2GB surf"
"Ingen bindningstid","Ingen bindningstid"
"Inga dolda avgifter","Inga dolda avgifter"
"Comviq Fastpris med mobiltelefon","Comviq Fastpris med mobiltelefon"
"Betalas nu:","Betalas nu:"
"dagar","dagar"
"veckor","veckor"
"Behåll nuvarande","Behåll nuvarande"
"Nummer du vill behålla","Nummer du vill behålla"
"Bekräfta","Bekräfta"
"Du glömde attt fylla i ditt mobilnummer!","Du glömde attt fylla i ditt mobilnummer!"
"Du har skrivit in ett ogiltigt mobilnummer! Ex. 070-000 00 00","Du har skrivit in ett ogiltigt mobilnummer! Ex. 070-000 00 00"
"Du har glömt att skriva i SMS-koden!","Du har glömt att skriva i SMS-koden!"
"Du har skrivit in en ogiltig SMS-kod!","Du har skrivit in en ogiltig SMS-kod!"
"Abonnemang","Abonnemang"
"Kontantkort","Kontantkort"
"Fyll i SMS-koden du fick","Fyll i SMS-koden du fick"
"Ingen mobiltelefon tillgänglig i denna prisklass","Ingen mobiltelefon tillgänglig i denna prisklass"
"Full spocifikatior","Full spocifikatior"
"Översikt","Översikt"
"Teknisk specifikation","Teknisk specifikation"
"Add to Cart","Beställ"
"Bindningstid:","Bindningstid:"
"Choose new number","Nummer du vill behålla"
"Postpaid","Postpaid"
"Prepaid","Prepaid"
"Details","Details"
"Additional Information","Additional Information"