"This phone number already exists for another phone to Cart","This phone number already exists for another phone to Cart"
"Not selected activation type","Not selected activation type"
"Not selected phone number","Not selected phone number"
"Not selected sim type","Not selected sim type"
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Insurances","Insurances"
"No insurances available","No products available"
"See more insurances","See more insurances"
"Please, select your city","Please, select your city"
"No available resellers","No available resellers"
"Read more","Read more"
"Remove other products in order to buy To Go","Remove other products in order to buy To Go"
"PRESSBYRAN","Pressbyran"
"SEVEN_ELEVEN","7-Eleven"
"Campaign code %s was saved.","Campaign code %s was saved."